,game,category,game+category,time,released_year,age,nb_of_runs,main_platform,main_genre,engine,developer,publisher,TAS_time,emulator,time_difference,%_of_difference
54,Hamtaro: Ham-Hams Unite!,Any%,Hamtaro: Ham-Hams Unite! - Any%,2634.0,2002,19,17,Game Boy Color,,,,,2582.27,,51.73000000000002,1.9639331814730454
55,Baseball,Any%,Baseball - Any%,901.0,1983,38,16,Nintendo Entertainment System,,,,,491.06,,409.94,45.49833518312985
56,King Kong 2: Ikari no Megaton Punch,Any%,King Kong 2: Ikari no Megaton Punch - Any%,177.667,1986,35,39,Nintendo Entertainment System,,,Konami,,175.31,,2.3569999999999993,1.3266391620278382
57,Dash Galaxy in the Alien Asylum,Any%,Dash Galaxy in the Alien Asylum - Any%,374.0,1990,31,7,Nintendo Entertainment System,,,,,368.28,,5.720000000000027,1.5294117647058896
58,NFL Street 2,NFL Challenge,NFL Street 2 - NFL Challenge,3087.0,2004,17,3,GameCube,Sports,Gamecube,EA Tiburon,EA Sports BIG,1327.1,,1759.9,57.01004211208293
59,Dynamite Headdy,Any%,Dynamite Headdy - Any%,2253.0,1994,27,19,Wii Virtual Console,Platformer,,Treasure,SEGA,1959.59,BizHawk,293.4100000000001,13.023080337328011
60,INK,Any%,INK - Any%,635.82,2015,6,28,PlayStation 4,,,,,532.57,,103.25,16.238872636909814
61,Order of Twilight,Any%,Order of Twilight - Any%,164.76,2012,9,1,PC,Platformer,,Stabyourself.net,Stabyouself.net,47.23,,117.53,71.33406166545278
62,New Super Mario Bros. Wii,100%,New Super Mario Bros. Wii - 100%,10787.0,2009,12,39,Wii U,Platformer,,Nintendo,Nintendo,10713.27,Dolphin,73.72999999999956,0.6835079262074679
63,Crusader of Centy,Any%,Crusader of Centy - Any%,2131.0,1994,27,31,Sega Genesis,,,,,1750.77,BizHawk,380.23,17.842796809009855
64,Multidude,Any%,Multidude - Any%,378.0,2015,6,1,Nintendo Entertainment System,,,,,308.43,,69.57,18.4047619047619
65,Overlord,Any%,Overlord - Any%,8047.0,2007,14,9,PlayStation 3,,,Triumph Studios,Codemasters,237.41,,7809.59,97.0497079657015
66,Kero Kero Keroppi no Daibouken 2: Donuts Ike ha Oosawagi!,Any%,Kero Kero Keroppi no Daibouken 2: Donuts Ike ha Oosawagi! - Any%,763.0,1993,28,7,Nintendo Entertainment System,,,,,715.46,,47.539999999999964,6.230668414154648
67,Dragon Ball Z: Buu's Fury,Any%,Dragon Ball Z: Buu's Fury - Any%,8158.0,2004,17,20,Game Boy Advance,,,,,7042.57,BizHawk,1115.4300000000003,13.6728364795293
68,Dragon Ball: Advanced Adventure,Any%,Dragon Ball: Advanced Adventure - Any%,2422.0,2004,17,33,Game Boy Advance,,,,,1947.56,BizHawk,474.44000000000005,19.588769611891003
69,The Legend of Zelda: Spirit Tracks,Any%,The Legend of Zelda: Spirit Tracks - Any%,15257.0,2009,12,15,Nintendo DS,,,,,14246.32,,1010.6800000000003,6.624369142033167
70,Rambo,Any%,Rambo - Any%,1098.0,1987,34,7,Nintendo Entertainment System,Action,,Pack-In-Video,Acclaim,998.52,,99.48000000000002,9.060109289617488
71,ALF,Any%,ALF - Any%,293.0,1989,32,13,Sega Master System,,,,,292.39,,0.6100000000000136,0.20819112627986813
72,Mickey's Dangerous Chase,Any%,Mickey's Dangerous Chase - Any%,743.0,1991,30,14,Game Boy Color,,,,,701.78,,41.22000000000003,5.547779273216693
73,Space Shuttle Project,Any%,Space Shuttle Project - Any%,3404.0,1991,30,5,Nintendo Entertainment System,Action,,Imagineering,Absolute Entertainment,3270.01,,133.98999999999978,3.936251468860158
74,Astérix and the Great Rescue,Any%,Astérix and the Great Rescue - Any%,1751.0,1993,28,2,Sega Genesis,,,,,1477.87,,273.1300000000001,15.59851513420903
75,Bonk 3: Bonk's Big Adventure,Any%,Bonk 3: Bonk's Big Adventure - Any%,1653.0,1993,28,3,Wii Virtual Console,,,,,1137.05,BizHawk,515.95,31.2129461584997
76,Lucky Luke: On the Daltons' Trail,Any%,Lucky Luke: On the Daltons' Trail - Any%,2701.0,1998,23,1,PlayStation,,,,,2549.35,,151.6500000000001,5.614587189929659
77,Mega Man: Dr. Wily's Revenge,Any%,Mega Man: Dr. Wily's Revenge - Any%,1137.0,1991,30,1,Super Game Boy,,,,,1018.11,lsnes,118.88999999999999,10.456464379947228
78,Adventures of Lolo 3,Any%,Adventures of Lolo 3 - Any%,4686.0,1991,30,3,Nintendo Entertainment System,,,,,4028.7,,657.3000000000002,14.026888604353395
79,Castlevania: Portrait of Ruin,Any%,Castlevania: Portrait of Ruin - Any%,736.0,2006,15,8,Nintendo DS,,,,,244.59,,491.40999999999997,66.76766304347827
80,The Magic of Scheherazade,Any%,The Magic of Scheherazade - Any%,3460.0,1987,34,8,Nintendo Entertainment System,Adventure,,Culture Brain,Culture Brain,2878.71,,581.29,16.80028901734104
81,Urusei Yatsura: Lum no Wedding Bell,Any%,Urusei Yatsura: Lum no Wedding Bell - Any%,986.0,1986,35,2,Nintendo Entertainment System,Platform,,Jaleco,Jaleco,565.74,,420.26,42.622718052738335
82,Sonic Heroes,Team Sonic,Sonic Heroes - Team Sonic,2776.0,2003,18,39,GameCube,Action,RenderWare (Version 3.5.0.0),Sonic Team,SEGA,2161.23,Dolphin,614.77,22.145893371757925
83,The Mutant Virus: Crisis in a Computer World,Any%,The Mutant Virus: Crisis in a Computer World - Any%,6340.0,1992,29,1,Nintendo Entertainment System,,,,,1077.21,,5262.79,83.00930599369086
84,Hammerin' Harry,Any%,Hammerin' Harry - Any%,424.23,1990,31,38,Nintendo Entertainment System,Platformer,,,Irem,405.9,,18.33000000000004,4.320769393960832
85,Alex Kidd: High-Tech World,Any%,Alex Kidd: High-Tech World - Any%,517.0,1989,32,3,Sega Master System,Action-adventure,,SEGA,SEGA,399.16,,117.83999999999997,22.793036750483555
86,Battle Kid 2: Mountain of Torment,100%,Battle Kid 2: Mountain of Torment - 100%,5696.0,2012,9,1,Nintendo Entertainment System,,,,,2758.69,BizHawk,2937.31,51.567942415730336
87,Milon's Secret Castle,Any%,Milon's Secret Castle - Any%,505.0,1986,35,7,Nintendo Entertainment System,Metroidvania,,Hudson Soft,Hudson Soft,328.43,,176.57,34.964356435643566
88,Cheetahmen II,Any%,Cheetahmen II - Any%,225.0,1992,29,9,Nintendo Entertainment System,,,,,71.68,,153.32,68.14222222222222
89,Star Wars,Any%,Star Wars - Any%,566.767,1991,30,8,Nintendo Entertainment System,,,,,473.35,,93.41700000000003,16.482434580700716
90,Shatterhand,Any%,Shatterhand - Any%,1192.0,1991,30,21,Nintendo Entertainment System,Action/Platformer,,Natsume,Jaleco,1063.23,,128.76999999999998,10.802852348993287
91,Gimmick!,Any%,Gimmick! - Any%,345.0,1992,29,22,Nintendo Entertainment System,Platformer,,Sunsoft,Sunsoft,264.61,FCEUX,80.38999999999999,23.301449275362312
92,Wario Land 4,Any%,Wario Land 4 - Any%,2632.0,2001,20,10,Game Boy Advance,Platformer,,Nintendo R&D1,Nintendo,2404.88,VBA,227.1199999999999,8.629179331306986
93,Instruments of Chaos starring Young Indiana Jones,Any%,Instruments of Chaos starring Young Indiana Jones - Any%,1076.0,1994,27,1,Sega Genesis,,,,,544.58,,531.42,49.38847583643122
94,Princess Rescue,Any%,Princess Rescue - Any%,381.244,2013,8,5,Atari 2600,,,,,368.42,,12.824000000000012,3.363725068460097
95,Advance Wars 2: Black Hole Rising,Any%,Advance Wars 2: Black Hole Rising - Any%,4798.0,2003,18,4,Wii U,,,,,4101.25,,696.75,14.521675698207586
96,Halo 2600,Any%,Halo 2600 - Any%,14.2,2010,11,6,Atari 2600,,,,,7.54,,6.659999999999999,46.90140845070422
97,Celeste,Any%,Celeste - Any%,1820.0,2018,3,2503,PlayStation 4,2D Platformer,MonoGame,Matt Makes Games Inc.,Matt Makes Games Inc.,1624.43,,195.56999999999994,10.745604395604392
98,Celeste,100%,Celeste - 100%,7684.0,2018,3,64,PlayStation 4,2D Platformer,MonoGame,Matt Makes Games Inc.,Matt Makes Games Inc.,5256.12,libTAS,2427.88,31.59656428943259
99,Spyro: Year of the Dragon,Any%,Spyro: Year of the Dragon - Any%,1438.0,2000,21,83,PlayStation 2,,,Insomniac Games,Sony Computer Entertainment,1355.17,,82.82999999999993,5.760083449235044
100,Spyro: Year of the Dragon,117%,Spyro: Year of the Dragon - 117%,10593.0,2000,21,93,PlayStation 2,,,Insomniac Games,Sony Computer Entertainment,8874.15,PSXjin,1718.8500000000004,16.22628150665534
101,Wild Guns,Any%,Wild Guns - Any%,1160.0,1995,26,14,Super Nintendo,Shooting Gallery,,Natsume,Natsume,1147.55,,12.450000000000045,1.0732758620689695
102,Teenage Mutant Ninja Turtles,Any%,Teenage Mutant Ninja Turtles - Any%,1001.1,1989,32,75,Nintendo Entertainment System,Action,,Konami,Ultra Games,944.93,BizHawk,56.17000000000007,5.610828089101995
103,Mario & Luigi: Bowser's Inside Story,Any%,Mario & Luigi: Bowser's Inside Story - Any%,19188.0,2009,12,10,Nintendo DS,,,,,17389.35,,1798.6500000000015,9.373827392120083
104,Monster World IV,Any%,Monster World IV - Any%,4554.0,1994,27,4,Wii Virtual Console,,,,,3910.64,,643.3600000000001,14.127360562143174
105,Dragon Warrior,Any%,Dragon Warrior - Any%,1463.0,1986,35,3,Nintendo Entertainment System,JRPG,,Chunsoft,Enix,1019.57,FCEUX,443.42999999999995,30.30963773069036
106,Contra Force,Any%,Contra Force - Any%,695.0,1992,29,10,Nintendo Entertainment System,,,,,596.0,,99.0,14.244604316546763
107,The California Raisins: The Grape Escape,Any%,The California Raisins: The Grape Escape - Any%,272.0,1990,31,25,Nintendo Entertainment System,,,,,255.83,,16.169999999999987,5.944852941176466
108,Virtual Boy Wario Land,Any%,Virtual Boy Wario Land - Any%,1146.0,1995,26,7,Virtual Boy,,,,,1047.33,BizHawk,98.67000000000007,8.609947643979064
109,Final Fantasy V,Any%,Final Fantasy V - Any%,12927.0,1992,29,4,Super Nintendo,,,,,12357.13,,569.8700000000008,4.40837007813105
110,Donald Land,Any%,Donald Land - Any%,768.0,1988,33,4,Nintendo Entertainment System,,,,,516.13,BizHawk,251.87,32.795572916666664
111,Legend of Hero Tonma,Any%,Legend of Hero Tonma - Any%,324.0,1989,32,9,Wii Virtual Console,Platformer,,Irem,Irem,299.28,,24.720000000000027,7.629629629629638
112,Turok: Evolution,Any%,Turok: Evolution - Any%,6558.0,2002,19,2,GameCube,,,,,1124.83,BizHawk,5433.17,82.84797194266545
113,Super Metroid,Any%,Super Metroid - Any%,2455.0,1994,27,1143,Super Nintendo,Action Adventure,,DeerForce,Nintendo,2158.31,lsnes,296.69000000000005,12.08513238289206
114,Super Metroid,100%,Super Metroid - 100%,4384.0,1994,27,499,Super Nintendo,Action Adventure,,DeerForce,Nintendo,3707.03,,676.9699999999998,15.441833941605836
115,Axiom Verge,Any%,Axiom Verge - Any%,1826.433,2015,6,11,Wii U,Metroidvania,MonoGame,Thomas Happ Games,Thomas Happ Games,1488.86,libTAS,337.5730000000001,18.482638016286394
116,Solomon's Key,Any%,Solomon's Key - Any%,747.0,1987,34,7,Nintendo Entertainment System,Puzzle,,Tecmo,Tecmo,691.68,,55.32000000000005,7.405622489959847
117,Road Runner's Death Valley Rally,Any%,Road Runner's Death Valley Rally - Any%,1291.0,1992,29,4,Super Nintendo,Platform,,ICOM Simulations,Sunsoft,1199.67,,91.32999999999993,7.074360960495734
118,Metroid: Zero Mission,Any%,Metroid: Zero Mission - Any%,2212.0,2004,17,282,Game Boy Advance,,,,,1928.09,,283.9100000000001,12.834990958408683
119,Metroid: Zero Mission,100%,Metroid: Zero Mission - 100%,3951.0,2004,17,109,Game Boy Advance,,,,,3673.92,,277.0799999999999,7.012908124525435
120,Pitfall!,Any%,Pitfall! - Any%,1150.0,1982,39,1,Atari 2600,,,,,1091.2,,58.799999999999955,5.113043478260866
121,Pyjamarama,Any%,Pyjamarama - Any%,663.0,1984,37,1,Commodore 64,,,,,645.96,,17.039999999999964,2.5701357466063293
122,Castelian,Any%,Castelian - Any%,874.0,1991,30,2,Nintendo Entertainment System,Platformer,,Triffix Entertainment Inc.,Nintendo,838.29,,35.710000000000036,4.085812356979409
123,Donkey Kong Country 3: Dixie Kong's Double Trouble!,Any%,Donkey Kong Country 3: Dixie Kong's Double Trouble! - Any%,2790.0,1996,25,162,Super Nintendo,Platformer,,Rare,Nintendo,2553.73,,236.26999999999998,8.468458781362008
124,Mario Pinball Land,Any%,Mario Pinball Land - Any%,1053.0,2004,17,7,Game Boy Advance,,,,,420.41,,632.5899999999999,60.0750237416904
125,Sonic Advance,Amy,Sonic Advance - Amy,970.0,2001,20,8,Game Boy Advance,Action,,Sonic Team,SEGA,925.8,VBA,44.200000000000045,4.55670103092784
126,Star Voyager,Any%,Star Voyager - Any%,1251.0,1986,35,3,Nintendo Entertainment System,Space Simulation,,Acclai,Acclaim,809.53,,441.47,35.289368505195846
127,Ty the Tasmanian Tiger 2: Bush Rescue,Any%,Ty the Tasmanian Tiger 2: Bush Rescue - Any%,4115.0,2004,17,29,GameCube,Platformer,,Krome Studios,Electronic Arts,898.41,BizHawk,3216.59,78.16743620899149
128,Donkey Kong Land III,Any%,Donkey Kong Land III - Any%,2053.0,1997,24,12,Game Boy Color,,,,,1871.33,,181.67000000000007,8.849001461276185
129,Lizard,Any%,Lizard - Any%,1118.0,2018,3,8,Nintendo Entertainment System,,,,,1083.98,,34.01999999999998,3.0429338103756693
130,Warlock,Any%,Warlock - Any%,1714.0,1995,26,4,Super Nintendo,Action,,Realtime Associates,LJN (SNES),1332.02,,381.98,22.28588098016336
131,Little Red Hood,Any%,Little Red Hood - Any%,510.0,1989,32,4,Nintendo Entertainment System,,,,,334.17,,175.82999999999998,34.476470588235294
132,Chiki Chiki Boys,Any%,Chiki Chiki Boys - Any%,999.0,1992,29,7,Sega Genesis,Action,,Capcom,SEGA,921.19,,77.80999999999995,7.788788788788783
133,Cabbage Patch Kids: The Patch Puppy Rescue,Any%,Cabbage Patch Kids: The Patch Puppy Rescue - Any%,384.0,2006,15,5,Game Boy Advance,,,1st Playable Production,D3Publisher,360.6,,23.399999999999977,6.093749999999994
134,The Legend of Zelda: Twilight Princess,Any%,The Legend of Zelda: Twilight Princess - Any%,10344.0,2006,15,205,GameCube,Action-adventure,,Nintendo,Nintendo,9886.77,Dolphin,457.22999999999956,4.420243619489555
135,Club Penguin: Elite Penguin Force,Any%,Club Penguin: Elite Penguin Force - Any%,2052.0,2008,13,16,Nintendo DS,Adventure,,1st Playable Productions,Disney Interactive Studios,1712.28,,339.72,16.555555555555557
136,Metal Gear,Any%,Metal Gear - Any%,1458.0,1988,33,28,Nintendo Entertainment System,,,,,1344.55,FCEUX,113.45000000000005,7.781207133058987
137,Shadow Blasters,Any%,Shadow Blasters - Any%,464.0,1990,31,9,Sega Genesis,Platformer,,Cyclone System,Sage's Creation,431.06,,32.94,7.099137931034483
138,Jumpin' Kid: Jack to Mame no Ki Monogatari,Any%,Jumpin' Kid: Jack to Mame no Ki Monogatari - Any%,411.0,1990,31,6,Nintendo Entertainment System,retro,,nintedo,,332.45,,78.55000000000001,19.111922141119223
139,The Young Indiana Jones Chronicles,Any%,The Young Indiana Jones Chronicles - Any%,674.0,1992,29,4,Nintendo Entertainment System,,,,,650.83,,23.16999999999996,3.4376854599406466
140,Comix Zone,Any%,Comix Zone - Any%,551.0,1995,26,30,Sega Genesis,,,,,518.67,Gens,32.33000000000004,5.867513611615252
141,Newer Super Mario Bros. DS,100%,Newer Super Mario Bros. DS - 100%,11584.0,2017,4,2,Nintendo DS,Platformer,,Skawo,Skawo,8140.51,DeSmuME,3443.49,29.726260359116022
142,Super Mario 64 DS,Any%,Super Mario 64 DS - Any%,598.0,2004,17,19,Nintendo DS,Platformer,,Nintendo EAD,Nintendo,492.93,DeSmuME,105.07,17.570234113712374
143,The Conduit,Any%,The Conduit - Any%,3614.0,2009,12,3,Wii,,,,,2746.7,Dolphin,867.3000000000002,23.9983397897067
144,Mario & Luigi: Partners in Time,Any%,Mario & Luigi: Partners in Time - Any%,9403.0,2005,16,10,Nintendo DS,,,,,6776.29,DeSmuME,2626.71,27.93480803998724
145,Tinhead,Any%,Tinhead - Any%,2179.0,1993,28,1,Sega Genesis,,,,,1066.24,BizHawk,1112.76,51.06746213859569
146,Pac-Man World,Any%,Pac-Man World - Any%,1765.0,1999,22,14,PlayStation 2,,,,,1269.52,BizHawk,495.48,28.072521246458923
147,New Super Mario Bros.,Any%,New Super Mario Bros. - Any%,1353.7,2006,15,267,Nintendo DS,,,,,1301.54,,52.16000000000008,3.853143237054006
148,Shinobi Legions,Any%,Shinobi Legions - Any%,1507.0,1995,26,3,Sega Saturn,Action,,SEGA,SEGA,1275.08,BizHawk,231.92000000000007,15.38951559389516
149,Conan: The Mysteries of Time,Any%,Conan: The Mysteries of Time - Any%,560.0,1991,30,2,Nintendo Entertainment System,,,,,299.77,,260.23,46.46964285714286
150,Hagane: The Final Conflict,Any%,Hagane: The Final Conflict - Any%,873.0,1995,26,13,Super Nintendo,,,,,792.84,,80.15999999999997,9.182130584192436
151,Aero the Acro-Bat 2,Any%,Aero the Acro-Bat 2 - Any%,1689.0,1994,27,3,Super Nintendo,,,Iguana,Sunsoft,1390.64,BizHawk,298.3599999999999,17.66489046773238
152,Friday the 13th,Any%,Friday the 13th - Any%,173.0,1989,32,45,Nintendo Entertainment System,,,,,142.93,,30.069999999999993,17.381502890173405
153,Adventures of Lolo 2,Any%,Adventures of Lolo 2 - Any%,1437.0,1990,31,3,Nintendo Entertainment System,,,,,1395.47,,41.52999999999997,2.8900487125956835
154,Magic Knight Rayearth,Any%,Magic Knight Rayearth - Any%,1358.0,1995,26,1,Sega Saturn,Action RPG,,,Working Designs,802.0,BizHawk,556.0,40.942562592047125
155,Kiteretsu Daihyakka,Any%,Kiteretsu Daihyakka - Any%,716.0,1990,31,3,Nintendo Entertainment System,,,,,615.0,,101.0,14.106145251396647
156,Formation Z,Any%,Formation Z - Any%,127.0,1985,36,8,Nintendo Entertainment System,Action,,,,111.9,,15.099999999999994,11.889763779527556
